Street_One,Street_Two,Latitude,Longitude
MISSION ST,ITALY AVE,37.71847,-122.43953
MISSION ST,NEW MONTGOMERY ST,37.78745,-122.4005
MISSION ST,01ST ST,37.77867,-122.4116
MISSION ST,20TH ST,37.75863,-122.41904
MISSION ST,FREMONT ST,37.79047,-122.39669
MISSION ST,13TH ST,37.76998,-122.41998
MISSION ST,ERIE ST,37.76907,-122.42004
MISSION ST,BEALE ST,37.79116,-122.39584
MISSION ST,FAIR AVE,37.74559,-122.41987
MISSION ST,SAINT MARYS AVE,37.73395,-122.42612
MISSION ST,SENECA AVE,37.71766,-122.44013
MISSION ST,ANTHONY ST,37.78838,-122.39933
MISSION ST,JESSIE EAST ST,37.78426,-122.4051
MISSION ST,SILVER AVE,37.72874,-122.43128
MISSION ST,MOUNT VERNON AVE,37.71461,-122.44265
MISSION ST,30TH ST,37.74239,-122.42196
MISSION ST,MAIN ST,37.79186,-122.39497
MISSION ST,TRUMBULL ST,37.73078,-122.42925
MISSION ST,15TH ST,37.76667,-122.41982
MISSION ST,KINGSTON ST,37.74175,-122.42238
MISSION ST,TINGLEY ST,37.72824,-122.43178
MISSION ST,THERESA ST,37.72772,-122.43234
MISSION ST,PARK ST,37.73664,-122.42423
MISSION ST,OLIVER ST,37.70955,-122.45052
MISSION ST,STEUART ST,37.79325,-122.39319
MISSION ST,HURON AVE,37.71185,-122.44983
MISSION ST,SYCAMORE ST,37.76272,-122.41946
MISSION ST,02ND ST,37.77867,-122.4116
MISSION ST,MINT ST,37.78219,-122.40717
MISSION ST,GENEVA AVE,37.71639,-122.441
MISSION ST,CORTLAND AVE,37.74101,-122.42284
MISSION ST,22ND ST,37.75545,-122.41874
MISSION ST,06TH ST,37.77867,-122.4116
MISSION ST,PRECITA AVE,37.74676,-122.41912
MISSION ST,17TH ST,37.76342,-122.4195
MISSION ST,CASTLE MANOR AVE,37.72924,-122.4308
MISSION ST,ALLISON ST,37.71461,-122.44265
MISSION ST,26TH ST,37.74906,-122.41814
MISSION ST,VIRGINIA AVE,37.74315,-122.4215
MISSION ST,COTTER ST,37.72719,-122.4329
MISSION ST,WHIPPLE AVE,37.7108,-122.44768
MISSION ST,08TH ST,37.77867,-122.4116
MISSION ST,PLUM ST,37.77104,-122.41967
MISSION ST,THE EMBARCADERO,37.79371,-122.39263
MISSION ST,19TH ST,37.76022,-122.41922
MISSION ST,APPLETON AVE,37.73887,-122.42395
MISSION ST,OCEAN AVE,37.72389,-122.43541
MISSION ST,GODEUS ST,37.74283,-122.42171
MISSION ST,POPE ST,37.71543,-122.44183
MISSION ST,FARRAGUT AVE,37.70994,-122.44939
MISSION ST,11TH ST,37.77433,-122.4171
MISSION ST,EUGENIA AVE,37.74222,-122.42208
MISSION ST,04TH ST,37.77867,-122.4116
MISSION ST,FRANCE AVE,37.72005,-122.43835
MISSION ST,LASKIE ST,37.77672,-122.41412
MISSION ST,29TH ST,37.74408,-122.42092
MISSION ST,RUSSIA AVE,37.72157,-122.43718
MISSION ST,ONONDAGA AVE,37.72115,-122.4375
MISSION ST,ANNIE ST,37.78685,-122.40123
MISSION ST,21ST ST,37.75702,-122.41892
MISSION ST,CLARION ALY,37.76306,-122.41948
MISSION ST,NAGLEE AVE,37.7116,-122.44613
MISSION ST,ADMIRAL AVE,37.72986,-122.43015
MISSION ST,RICHLAND AVE,37.73594,-122.42449
MISSION ST,LOWELL ST,37.71145,-122.44641
MISSION ST,SAN JUAN AVE,37.72401,-122.43532
MISSION ST,14TH ST,37.76829,-122.41997
MISSION ST,CONCORD ST,37.71397,-122.44334
MISSION ST,HIGHLAND AVE,37.73736,-122.42404
MISSION ST,10TH ST,37.77528,-122.41591
MISSION ST,LAWRENCE AVE,37.70942,-122.45088
MISSION ST,AMAZON AVE,37.71724,-122.44043
MISSION ST,ECKER ST,37.78918,-122.39832
MISSION ST,SHAW ALY,37.78898,-122.39857
MISSION ST,AVALON AVE,37.72772,-122.43234
MISSION ST,FRANCIS ST,37.7266,-122.43336
MISSION ST,LAFAYETTE ST,37.77352,-122.41808
MISSION ST,JESSIE WEST ST,37.78309,-122.40604
MISSION ST,COLLEGE AVE,37.73526,-122.42481
MISSION ST,03RD ST,37.77867,-122.4116
MISSION ST,HARRINGTON ST,37.72518,-122.43444
MISSION ST,COLLEGE TER,37.73428,-122.42579
MISSION ST,VALENCIA ST,37.74559,-122.41987
MISSION ST,NEY ST,37.73001,-122.43001
MISSION ST,12TH ST,37.77122,-122.41571
MISSION ST,25TH ST,37.75066,-122.4183
MISSION ST,MARY ST,37.78214,-122.40724
MISSION ST,SPEAR ST,37.79256,-122.39407
MISSION ST,ROLPH ST,37.71579,-122.44157
MISSION ST,07TH ST,37.77867,-122.4116
MISSION ST,NORTON ST,37.7246,-122.4349
MISSION ST,RUTH ST,37.72306,-122.43604
MISSION ST,BRAZIL AVE,37.7247,-122.43483
MISSION ST,GUTTENBERG ST,37.71279,-122.4446
MISSION ST,23RD ST,37.75383,-122.4186
MISSION ST,RANDALL ST,37.7398,-122.42362
MISSION ST,PERSIA AVE,37.72314,-122.43597
MISSION ST,16TH ST,37.76505,-122.41967
MISSION ST,YERBA BUENA LN,37.7851,-122.40347
MISSION ST,LAURA ST,37.70969,-122.45012
